,Date,Price,Open,High,Low,Vol.,Change%
0,2019-03-13,7148.17,7128.25,7162.5,7128.25,0,-0.04
1,2019-03-12,7151.15,7130.62,7166.55,7083.22,775290000,0.29
2,2019-03-11,7130.62,7104.31,7181.61,7104.31,695140000,0.37
3,2019-03-08,7104.31,7157.55,7157.55,7077.93,640780000,-0.74
4,2019-03-07,7157.55,7196.0,7196.0,7126.57,712680000,-0.53
5,2019-03-06,7196.0,7183.43,7211.83,7170.25,816150000,0.17
6,2019-03-05,7183.43,7134.39,7191.65,7127.18,819860000,0.69
7,2019-03-04,7134.39,7106.73,7166.19,7106.73,654230000,0.39
8,2019-03-01,7106.73,7074.73,7129.72,7074.73,722480000,0.45
9,2019-02-28,7074.73,7107.2,7107.2,7041.03,1010000000,-0.46
10,2019-02-27,7107.2,7151.12,7151.12,7082.62,897620000,-0.61
11,2019-02-26,7151.12,7183.74,7183.79,7091.59,892460000,-0.45
12,2019-02-25,7183.74,7178.6,7210.7,7158.19,664870000,0.07
13,2019-02-22,7178.6,7167.39,7220.52,7162.37,666720000,0.16
14,2019-02-21,7167.39,7228.62,7228.78,7141.85,822590000,-0.85
15,2019-02-20,7228.62,7179.17,7234.16,7177.95,887890000,0.69
16,2019-02-19,7179.17,7219.47,7219.53,7162.8,643410000,-0.56
17,2019-02-18,7219.47,7236.68,7242.09,7209.7,453430000,-0.24
18,2019-02-15,7236.68,7197.01,7261.63,7185.23,709700000,0.55
19,2019-02-14,7197.01,7190.84,7232.83,7183.01,535040000,0.09
20,2019-02-13,7190.84,7133.14,7205.07,7133.14,578840000,0.81
21,2019-02-12,7133.14,7129.11,7168.61,7121.72,542970000,0.06
22,2019-02-11,7129.11,7071.18,7149.23,7071.18,565260000,0.82
23,2019-02-08,7071.18,7093.58,7115.83,7064.9,548730000,-0.32
24,2019-02-07,7093.58,7173.09,7187.51,7093.58,669720000,-1.11
25,2019-02-06,7173.09,7177.37,7184.22,7146.65,618000000,-0.06
26,2019-02-05,7177.37,7034.13,7180.71,7033.57,683460000,2.04
27,2019-02-04,7034.13,7020.22,7046.58,7002.42,630900000,0.2
28,2019-02-01,7020.22,6968.85,7024.45,6968.85,645350000,0.74
29,2019-01-31,6968.85,6941.63,6994.88,6941.09,893090000,0.39
30,2019-01-30,6941.63,6833.93,6967.7,6833.93,771900000,1.58
31,2019-01-29,6833.93,6747.1,6860.34,6747.1,718590000,1.29
32,2019-01-28,6747.1,6809.22,6812.53,6734.0,668240000,-0.91
33,2019-01-25,6809.22,6818.95,6858.19,6806.77,749990000,-0.14
34,2019-01-24,6818.95,6842.88,6854.59,6802.03,618510000,-0.35
35,2019-01-23,6842.88,6901.39,6901.63,6834.3,666010000,-0.85
36,2019-01-22,6901.39,6970.59,6970.59,6880.69,583460000,-0.99
37,2019-01-21,6970.59,6968.33,6987.93,6954.52,488780000,0.03
38,2019-01-18,6968.33,6834.92,6984.36,6834.92,820330000,1.95
39,2019-01-17,6834.92,6862.68,6862.68,6799.03,600660000,-0.4
40,2019-01-16,6862.68,6895.02,6912.44,6848.57,811960000,-0.47
41,2019-01-15,6895.02,6855.02,6910.45,6849.63,708580000,0.58
42,2019-01-14,6855.02,6918.18,6918.21,6841.74,704570000,-0.91
43,2019-01-11,6918.18,6942.87,7001.94,6902.65,701510000,-0.36
44,2019-01-10,6942.87,6906.63,6948.18,6860.82,630320000,0.52
45,2019-01-09,6906.63,6861.6,6938.31,6861.6,887290000,0.66
46,2019-01-08,6861.6,6810.88,6901.48,6804.89,672100000,0.74
47,2019-01-07,6810.88,6837.42,6874.11,6778.01,759330000,-0.39
48,2019-01-04,6837.42,6692.66,6850.37,6692.5,658880000,2.16
49,2019-01-03,6692.66,6734.23,6753.14,6685.09,694920000,-0.62
50,2019-01-02,6734.23,6728.13,6753.29,6599.48,633240000,0.09
51,2018-12-31,6728.13,6733.97,6752.54,6718.32,232270000,-0.09
52,2018-12-28,6733.97,6584.68,6742.48,6584.68,515160000,2.27
53,2018-12-27,6584.68,6685.99,6728.49,6536.53,608360000,-1.52
54,2018-12-24,6685.99,6721.17,6721.17,6661.04,198770000,-0.52
55,2018-12-21,6721.17,6711.93,6733.0,6653.65,1650000000,0.14
56,2018-12-20,6711.93,6765.94,6765.94,6646.45,929570000,-0.8
57,2018-12-19,6765.94,6701.59,6785.16,6698.15,777370000,0.96
58,2018-12-18,6701.59,6773.24,6773.24,6701.59,880780000,-1.06
59,2018-12-17,6773.24,6845.17,6845.17,6761.38,734720000,-1.05
60,2018-12-14,6845.17,6877.5,6877.5,6788.65,736010000,-0.47
61,2018-12-13,6877.5,6880.19,6908.48,6848.98,757820000,-0.04
62,2018-12-12,6880.19,6806.94,6902.19,6806.94,1100000000,1.08
63,2018-12-11,6806.94,6721.54,6857.58,6721.54,867260000,1.27
64,2018-12-10,6721.54,6778.11,6815.84,6719.17,891070000,-0.83
65,2018-12-07,6778.11,6704.05,6868.27,6704.05,845320000,1.1
66,2018-12-06,6704.05,6921.84,6921.84,6673.57,1060000000,-3.15
67,2018-12-05,6921.84,7022.76,7028.65,6921.84,813440000,-1.44
68,2018-12-04,7022.76,7062.41,7095.01,7002.71,844630000,-0.56
69,2018-12-03,7062.41,6980.24,7145.49,6980.24,891140000,1.18
70,2018-11-30,6980.24,7038.95,7042.07,6965.6,1220000000,-0.83
71,2018-11-29,7038.95,7004.52,7078.37,7004.52,797790000,0.49
72,2018-11-28,7004.52,7016.85,7057.03,6987.25,825360000,-0.18
73,2018-11-27,7016.85,7036.0,7043.7,6983.98,855620000,-0.27
74,2018-11-26,7036.0,6952.86,7050.96,6952.86,826830000,1.2
75,2018-11-23,6952.86,6960.32,6987.53,6912.3,707660000,-0.11
76,2018-11-22,6960.32,7050.23,7050.43,6944.95,786800000,-1.28
77,2018-11-21,7050.23,6947.92,7058.56,6947.92,864500000,1.47
78,2018-11-20,6947.92,7000.89,7010.1,6904.21,851710000,-0.76
79,2018-11-19,7000.89,7013.88,7070.46,6997.83,800440000,-0.19
80,2018-11-16,7013.88,7038.01,7092.44,6968.99,1040000000,-0.34
81,2018-11-15,7038.01,7033.79,7081.88,6979.57,1290000000,0.06
82,2018-11-14,7033.79,7053.76,7113.59,6979.68,953790000,-0.28
83,2018-11-13,7053.76,7053.08,7103.97,7016.64,1080000000,0.01
84,2018-11-12,7053.08,7105.34,7186.31,7053.08,730620000,-0.74
